en	fr	de	tr	zh	it	fi
NO RUNS YET\n<size=60%><color=#94B0C2>PLAY TO SET YOUR FIRST RECORD</color></size>	AUCUNE PARTIE\n<size=60%><color=#94B0C2>JOUE POUR ÉTABLIR TON PREMIER RECORD</color></size>	NOCH KEINE RUNS\n<size=60%><color=#94B0C2>SPIELE FÜR DEINEN ERSTEN REKORD</color></size>	HENÜZ OYUN YOK\n<size=60%><color=#94B0C2>İLK REKORUNU KIRMAK İÇİN OYNA</color></size>	暂无记录\n<size=60%><color=#94B0C2>开始游戏，创造你的第一个纪录</color></size>	NESSUNA PARTITA\n<size=60%><color=#94B0C2>GIOCA PER IL TUO PRIMO RECORD</color></size>	EI VIELÄ PELEJÄ\n<size=60%><color=#94B0C2>PELAA JA TEE ENSIMMÄINEN ENNÄTYKSESI</color></size>
TIP	ASTUCE	TIPP	İPUCU	提示	SUGGERIMENTO	VINKKI
RUN IN PROGRESS	PARTIE EN COURS	RUN LÄUFT NOCH	DEVAM EDEN OYUN	有进行中的游戏	PARTITA IN CORSO	KESKEN OLEVA PELI
CONTINUE	CONTINUER	FORTSETZEN	DEVAM ET	继续	CONTINUA	JATKA
NEW RUN	NOUVELLE PARTIE	NEUER RUN	YENİ OYUN	新游戏	NUOVA PARTITA	UUSI PELI
<color=#94B0C2>Starting a new run ends the saved one (its Core is still awarded).</color>	<color=#94B0C2>Une nouvelle partie met fin à celle sauvegardée (son Core est quand même accordé).</color>	<color=#94B0C2>Ein neuer Run beendet den gespeicherten (sein Core wird trotzdem gutgeschrieben).</color>	<color=#94B0C2>Yeni oyun kayıtlı oyunu bitirir (kazandığı Core yine verilir).</color>	<color=#94B0C2>开始新游戏将结束已保存的游戏（其 Core 仍会发放）。</color>	<color=#94B0C2>Una nuova partita chiude quella salvata (il suo Core viene comunque assegnato).</color>	<color=#94B0C2>Uusi peli päättää tallennetun (sen Core annetaan silti).</color>
# --- Karakter / zorluk seçimi ---
SELECT CHARACTER	CHOISIS TON PERSONNAGE	WÄHLE DEINEN CHARAKTER	KARAKTER SEÇ	选择角色	SCEGLI IL PERSONAGGIO	VALITSE HAHMO
SELECT DIFFICULTY	CHOISIS LA DIFFICULTÉ	WÄHLE DIE SCHWIERIGKEIT	ZORLUK SEÇ	选择难度	SCEGLI LA DIFFICOLTÀ	VALITSE VAIKEUS
<color=#73EFF7>< ></color> CHOOSE     <color=#73EFF7>ENTER</color> NEXT     <color=#73EFF7>ESC</color> BACK	<color=#73EFF7>< ></color> CHOISIR     <color=#73EFF7>ENTRÉE</color> SUIVANT     <color=#73EFF7>ÉCHAP</color> RETOUR	<color=#73EFF7>< ></color> WÄHLEN     <color=#73EFF7>ENTER</color> WEITER     <color=#73EFF7>ESC</color> ZURÜCK	<color=#73EFF7>< ></color> SEÇ     <color=#73EFF7>ENTER</color> İLERİ     <color=#73EFF7>ESC</color> GERİ	<color=#73EFF7>< ></color> 选择     <color=#73EFF7>回车</color> 下一步     <color=#73EFF7>ESC</color> 返回	<color=#73EFF7>< ></color> SCEGLI     <color=#73EFF7>INVIO</color> AVANTI     <color=#73EFF7>ESC</color> INDIETRO	<color=#73EFF7>< ></color> VALITSE     <color=#73EFF7>ENTER</color> SEURAAVA     <color=#73EFF7>ESC</color> TAKAISIN
<color=#73EFF7>< ></color> CHOOSE     <color=#73EFF7>ENTER</color> START     <color=#73EFF7>ESC</color> BACK	<color=#73EFF7>< ></color> CHOISIR     <color=#73EFF7>ENTRÉE</color> COMMENCER     <color=#73EFF7>ÉCHAP</color> RETOUR	<color=#73EFF7>< ></color> WÄHLEN     <color=#73EFF7>ENTER</color> START     <color=#73EFF7>ESC</color> ZURÜCK	<color=#73EFF7>< ></color> SEÇ     <color=#73EFF7>ENTER</color> BAŞLA     <color=#73EFF7>ESC</color> GERİ	<color=#73EFF7>< ></color> 选择     <color=#73EFF7>回车</color> 开始     <color=#73EFF7>ESC</color> 返回	<color=#73EFF7>< ></color> SCEGLI     <color=#73EFF7>INVIO</color> INIZIA     <color=#73EFF7>ESC</color> INDIETRO	<color=#73EFF7>< ></color> VALITSE     <color=#73EFF7>ENTER</color> ALOITA     <color=#73EFF7>ESC</color> TAKAISIN
STARTS WITH	COMMENCE AVEC	STARTET MIT	BAŞLANGIÇ	初始武器	INIZIA CON	ALOITTAA
LOCKED	VERROUILLÉ	GESPERRT	KİLİTLİ	未解锁	BLOCCATO	LUKITTU
Balanced, no modifiers	Équilibré, sans modificateurs	Ausgewogen, keine Modifikatoren	Dengeli, değiştirici yok	均衡，无加成	Bilanciato, nessun modificatore	Tasapainoinen, ei muutoksia
Max Health	Santé max	Max. Leben	Maks. Can	生命上限	Salute max	Maks. terveys
Move Speed	Vitesse	Laufgeschw.	Hareket Hızı	移动速度	Velocità	Liikenopeus
Crit Chance	Chance de critique	Krit-Chance	Kritik Şansı	暴击率	Prob. critico	Kriittinen mahd.
Pickup Range	Portée de ramassage	Sammelradius	Toplama Menzili	拾取范围	Raggio raccolta	Keräyssäde
NORMAL	NORMAL	NORMAL	NORMAL	普通	NORMALE	NORMAALI
HARD	DIFFICILE	SCHWER	ZOR	困难	DIFFICILE	VAIKEA
NIGHTMARE	CAUCHEMAR	ALBTRAUM	KABUS	噩梦	INCUBO	PAINAJAINEN
The standard challenge.	Le défi standard.	Die normale Herausforderung.	Standart zorluk.	标准挑战。	La sfida standard.	Tavallinen haaste.
Tougher, faster enemies. Better rewards.	Ennemis plus coriaces et rapides. Meilleures récompenses.	Zähere, schnellere Gegner. Bessere Belohnungen.	Daha güçlü, daha hızlı düşmanlar. Daha iyi ödüller.	敌人更强更快，奖励更丰厚。	Nemici più duri e veloci. Ricompense migliori.	Kestävämmät, nopeammat viholliset. Paremmat palkinnot.
Only for the bravest. Huge rewards.	Réservé aux plus braves. Énormes récompenses.	Nur für die Mutigsten. Riesige Belohnungen.	Sadece en cesurlar için. Dev ödüller.	只为最勇敢的人。巨额奖励。	Solo per i più coraggiosi. Ricompense enormi.	Vain rohkeimmille. Valtavat palkinnot.
Enemy health	Santé ennemie	Gegnerleben	Düşman canı	敌人生命	Salute nemici	Vihollisten terveys
Enemy damage	Dégâts ennemis	Gegnerschaden	Düşman hasarı	敌人伤害	Danno nemici	Vihollisten vahinko
Enemy speed	Vitesse ennemie	Gegnertempo	Düşman hızı	敌人速度	Velocità nemici	Vihollisten nopeus
CORE	CORE	CORE	CORE	CORE	CORE	CORE
BEST WAVE {0}	MEILLEURE VAGUE {0}	BESTE WELLE {0}	EN İYİ DALGA {0}	最高波次 {0}	ONDATA MIGLIORE {0}	PARAS AALTO {0}
NOT PLAYED YET	PAS ENCORE JOUÉ	NOCH NICHT GESPIELT	HENÜZ OYNANMADI	尚未游玩	NON ANCORA GIOCATO	EI VIELÄ PELATTU
Reach wave {0} on {1}	Atteins la vague {0} en {1}	Erreiche Welle {0} auf {1}	{1} zorlukta {0}. dalgaya ulaş	在{1}难度下到达第 {0} 波	Raggiungi l'ondata {0} in {1}	Saavuta aalto {0} tasolla {1}
# --- Karakter açıklamaları ---
A steady all-rounder.	Un polyvalent fiable.	Ein solider Allrounder.	Dengeli ve sağlam bir savaşçı.	稳健的全能型角色。	Un tuttofare affidabile.	Vakaa monitoimija.
Fast and nimble, but fragile.	Rapide et agile, mais fragile.	Schnell und wendig, aber zerbrechlich.	Hızlı ve çevik ama kırılgan.	迅捷灵活，但很脆弱。	Veloce e agile, ma fragile.	Nopea ja ketterä, mutta hauras.
Heavy armor, heavy hits, slow feet.	Armure lourde, coups lourds, pas lents.	Schwere Rüstung, harte Treffer, langsame Füße.	Ağır zırh, ağır darbeler, yavaş adımlar.	重甲、重击、步伐缓慢。	Armatura pesante, colpi pesanti, passo lento.	Raskas panssari, raskaat iskut, hitaat jalat.
Lives for the perfect shot.	Vit pour le tir parfait.	Lebt für den perfekten Schuss.	Mükemmel atış için yaşar.	为完美一击而生。	Vive per il colpo perfetto.	Elää täydellistä laukausta varten.
# --- Meta mağaza ---
UPGRADE	AMÉLIORATION	UPGRADE	GELİŞTİRME	强化	POTENZIAMENTO	PÄIVITYS
UNLOCKS	DÉBLOCAGES	FREISCHALTUNGEN	KİLİT AÇMA	解锁	SBLOCCHI	AVATTAVAT
UNLOCKED	DÉBLOQUÉ	FREIGESCHALTET	AÇILDI	已解锁	SBLOCCATO	AVATTU
MAX	MAX	MAX	MAKS	满级	MAX	MAKS
MAXED	MAX	MAXIMAL	MAKS	已满级	AL MASSIMO	MAKSIMI
NEXT	SUIVANT	NÄCHSTE	SONRAKİ	下一级	PROSSIMO	SEURAAVA
NOW	ACTUEL	JETZT	ŞU AN	当前	ORA	NYT
WEAPON	ARME	WAFFE	SİLAH	武器	ARMA	ASE
SKILL	COMPÉTENCE	SKILL	YETENEK	技能	ABILITÀ	TAITO
Nothing to unlock.	Rien à débloquer.	Nichts freizuschalten.	Açılacak bir şey yok.	没有可解锁的内容。	Niente da sbloccare.	Ei mitään avattavaa.
Run TopDownShooter > Meta > Setup first.	Lance d'abord TopDownShooter > Meta > Setup.	Führe zuerst TopDownShooter > Meta > Setup aus.	Önce TopDownShooter > Meta > Setup çalıştır.	请先运行 TopDownShooter > Meta > Setup。	Esegui prima TopDownShooter > Meta > Setup.	Suorita ensin TopDownShooter > Meta > Setup.
More max health every run.	Plus de santé max à chaque partie.	Mehr max. Leben in jedem Run.	Her oyunda daha fazla maks. can.	每局获得更多生命上限。	Più salute massima in ogni partita.	Enemmän maksimiterveyttä joka pelissä.
All weapons hit harder.	Toutes les armes frappent plus fort.	Alle Waffen treffen härter.	Tüm silahlar daha sert vurur.	所有武器伤害更高。	Tutte le armi colpiscono più forte.	Kaikki aseet iskevät kovemmin.
Move faster.	Déplace-toi plus vite.	Bewege dich schneller.	Daha hızlı hareket et.	移动更快。	Muoviti più velocemente.	Liiku nopeammin.
Pick up loot from farther away.	Ramasse le butin de plus loin.	Sammle Beute aus größerer Entfernung.	Ganimeti daha uzaktan topla.	从更远处拾取战利品。	Raccogli il bottino da più lontano.	Kerää saalista kauempaa.
Gain more experience.	Gagne plus d'expérience.	Erhalte mehr Erfahrung.	Daha fazla tecrübe kazan.	获得更多经验。	Ottieni più esperienza.	Saat enemmän kokemusta.
Start each run with extra coins.	Commence chaque partie avec des pièces en plus.	Starte jeden Run mit extra Münzen.	Her oyuna fazladan altınla başla.	每局开始时获得额外金币。	Inizia ogni partita con monete extra.	Aloita jokainen peli lisäkolikoilla.
Free card rerolls every run.	Relances de cartes gratuites à chaque partie.	Kostenlose Karten-Rerolls in jedem Run.	Her oyunda ücretsiz kart yenileme.	每局可免费刷新卡牌。	Rilanci di carte gratuiti in ogni partita.	Ilmaisia korttien uudelleenarvontoja joka pelissä.
Revive once with half health.	Ressuscite une fois avec la moitié de ta santé.	Einmal mit halbem Leben wiederbeleben.	Bir kez yarım canla diril.	以一半生命复活一次。	Rinasci una volta con metà salute.	Herää kerran henkiin puolella terveydellä.
Reach wave {0}	Atteins la vague {0}	Erreiche Welle {0}	{0}. dalgaya ulaş	到达第 {0} 波	Raggiungi l'ondata {0}	Saavuta aalto {0}
Kill {0} enemies in total	Élimine {0} ennemis au total	Besiege insgesamt {0} Gegner	Toplam {0} düşman öldür	累计击杀 {0} 名敌人	Uccidi {0} nemici in totale	Tapa yhteensä {0} vihollista
Land {0} critical hits	Inflige {0} coups critiques	Lande {0} kritische Treffer	{0} kritik vuruş yap	打出 {0} 次暴击	Metti a segno {0} colpi critici	Tee {0} kriittistä osumaa
Play {0} runs	Joue {0} parties	Spiele {0} Runs	{0} oyun oyna	进行 {0} 局游戏	Gioca {0} partite	Pelaa {0} peliä
Defeat the Big Boss	Vaincs le Big Boss	Besiege den Big Boss	Big Boss'u yen	击败 Big Boss	Sconfiggi il Big Boss	Voita Big Boss
Defeat {0} bosses	Vaincs {0} boss	Besiege {0} Bosse	{0} boss yen	击败 {0} 个首领	Sconfiggi {0} boss	Voita {0} pomoa
Survive {0} minutes in one run	Survis {0} minutes en une partie	Überlebe {0} Minuten in einem Run	Tek oyunda {0} dakika hayatta kal	单局存活 {0} 分钟	Sopravvivi {0} minuti in una partita	Selviydy {0} minuuttia yhdessä pelissä
Kill {0} enemies in one run	Élimine {0} ennemis en une partie	Besiege {0} Gegner in einem Run	Tek oyunda {0} düşman öldür	单局击杀 {0} 名敌人	Uccidi {0} nemici in una partita	Tapa {0} vihollista yhdessä pelissä
Reach level {0} in one run	Atteins le niveau {0} en une partie	Erreiche Level {0} in einem Run	Tek oyunda {0}. seviyeye ulaş	单局达到 {0} 级	Raggiungi il livello {0} in una partita	Saavuta taso {0} yhdessä pelissä
Earn {0} Core in total	Gagne {0} Core au total	Verdiene insgesamt {0} Core	Toplam {0} Core kazan	累计获得 {0} Core	Guadagna {0} Core in totale	Ansaitse yhteensä {0} Corea
# --- Ayarlar ---
AUDIO	AUDIO	AUDIO	SES	音频	AUDIO	ÄÄNI
DISPLAY	AFFICHAGE	ANZEIGE	GÖRÜNTÜ	显示	SCHERMO	NÄYTTÖ
MASTER	GÉNÉRAL	GESAMT	ANA SES	主音量	GENERALE	PÄÄ
MUSIC	MUSIQUE	MUSIK	MÜZİK	音乐	MUSICA	MUSIIKKI
SFX	EFFETS	EFFEKTE	EFEKT	音效	EFFETTI	TEHOSTEET
QUALITY	QUALITÉ	QUALITÄT	KALİTE	画质	QUALITÀ	LAATU
RESOLUTION	RÉSOLUTION	AUFLÖSUNG	ÇÖZÜNÜRLÜK	分辨率	RISOLUZIONE	RESOLUUTIO
FULLSCREEN	PLEIN ÉCRAN	VOLLBILD	TAM EKRAN	全屏	SCHERMO INTERO	KOKO NÄYTTÖ
VSYNC	VSYNC	VSYNC	VSYNC	垂直同步	VSYNC	VSYNC
RESET	RÉINITIALISER	ZURÜCKSETZEN	SIFIRLA	重置	RIPRISTINA	NOLLAA
Very Low	Très bas	Sehr niedrig	Çok Düşük	极低	Molto bassa	Erittäin matala
Low	Bas	Niedrig	Düşük	低	Bassa	Matala
Medium	Moyen	Mittel	Orta	中	Media	Keskitaso
High	Élevé	Hoch	Yüksek	高	Alta	Korkea
Very High	Très élevé	Sehr hoch	Çok Yüksek	极高	Molto alta	Erittäin korkea
Ultra	Ultra	Ultra	Ultra	超高	Ultra	Ultra
# --- Duraklatma ---
PAUSED	PAUSE	PAUSE	DURAKLATILDI	已暂停	PAUSA	TAUKO
RESUME	REPRENDRE	WEITER	DEVAM	继续游戏	RIPRENDI	JATKA
RESTART	RECOMMENCER	NEUSTART	YENİDEN BAŞLA	重新开始	RICOMINCIA	ALOITA ALUSTA
SAVE & QUIT	SAUVER & QUITTER	SPEICHERN & ENDE	KAYDET & ÇIK	保存并退出	SALVA & ESCI	TALLENNA & LOPETA
MAIN MENU	MENU PRINCIPAL	HAUPTMENÜ	ANA MENÜ	主菜单	MENU PRINCIPALE	PÄÄVALIKKO
CANCEL	ANNULER	ABBRECHEN	İPTAL	取消	ANNULLA	PERUUTA
RETURN TO MENU?	RETOUR AU MENU ?	ZURÜCK ZUM MENÜ?	MENÜYE DÖN?	返回主菜单？	TORNARE AL MENU?	PALAA VALIKKOON?
QUIT WITHOUT SAVING?	QUITTER SANS SAUVER ?	OHNE SPEICHERN BEENDEN?	KAYDETMEDEN ÇIK?	不保存直接退出？	USCIRE SENZA SALVARE?	LOPETA TALLENTAMATTA?
This run will NOT be saved and can't be continued.\n<color=#FFCD75>Earned Core is still awarded.</color>	Cette partie ne sera PAS sauvegardée et ne pourra pas être reprise.\n<color=#FFCD75>Le Core gagné est quand même accordé.</color>	Dieser Run wird NICHT gespeichert und kann nicht fortgesetzt werden.\n<color=#FFCD75>Verdientes Core wird trotzdem gutgeschrieben.</color>	Bu oyun KAYDEDİLMEYECEK ve devam ettirilemeyecek.\n<color=#FFCD75>Kazanılan Core yine de verilir.</color>	本局游戏不会保存，也无法继续。\n<color=#FFCD75>已获得的 Core 仍会发放。</color>	Questa partita NON verrà salvata e non potrà essere ripresa.\n<color=#FFCD75>Il Core guadagnato viene comunque assegnato.</color>	Tätä peliä EI tallenneta, eikä sitä voi jatkaa.\n<color=#FFCD75>Ansaittu Core annetaan silti.</color>
ESC TO RESUME	ÉCHAP POUR REPRENDRE	ESC ZUM FORTSETZEN	DEVAM İÇİN ESC	按 ESC 继续	ESC PER RIPRENDERE	ESC JATKAA
B TO RESUME	B POUR REPRENDRE	B ZUM FORTSETZEN	DEVAM İÇİN B	按 B 继续	B PER RIPRENDERE	B JATKAA
# --- Oyun içi HUD ---
Wave {0}	Vague {0}	Welle {0}	Dalga {0}	第 {0} 波	Ondata {0}	Aalto {0}
LvL: {0}	Niv : {0}	Lvl: {0}	Sv: {0}	等级: {0}	Liv: {0}	Taso: {0}
WAVE {0}	VAGUE {0}	WELLE {0}	DALGA {0}	第 {0} 波	ONDATA {0}	AALTO {0}
LV {0}	NIV {0}	LVL {0}	SV {0}	等级 {0}	LIV {0}	TASO {0}
WEAPONS	ARMES	WAFFEN	SİLAHLAR	武器	ARMI	ASEET
BOSS INCOMING!	BOSS EN APPROCHE !	BOSS IM ANMARSCH!	BOSS GELİYOR!	首领来袭！	ARRIVA IL BOSS!	POMO SAAPUU!
SECOND CHANCE!	SECONDE CHANCE !	ZWEITE CHANCE!	İKİNCİ ŞANS!	第二次机会！	SECONDA POSSIBILITÀ!	TOINEN MAHDOLLISUUS!
RUN RESUMED - WAVE {0}	PARTIE REPRISE - VAGUE {0}	RUN FORTGESETZT - WELLE {0}	OYUN DEVAM EDİYOR - DALGA {0}	游戏已继续 - 第 {0} 波	PARTITA RIPRESA - ONDATA {0}	PELI JATKUU - AALTO {0}
SYNERGY: {0}!	SYNERGIE : {0} !	SYNERGIE: {0}!	SİNERJİ: {0}!	协同：{0}！	SINERGIA: {0}!	SYNERGIA: {0}!
{0} merged -> Tier {1}!	{0} fusionné -> Rang {1} !	{0} verschmolzen -> Stufe {1}!	{0} birleşti -> Seviye {1}!	{0} 已合成 -> {1} 阶！	{0} fusa -> Livello {1}!	{0} yhdistetty -> Taso {1}!
Slots full! Replace a skill with <color=#FFCD75>{0}</color>	Emplacements pleins ! Remplace une compétence par <color=#FFCD75>{0}</color>	Plätze voll! Ersetze einen Skill durch <color=#FFCD75>{0}</color>	Yuvalar dolu! Bir yeteneği <color=#FFCD75>{0}</color> ile değiştir	栏位已满！用 <color=#FFCD75>{0}</color> 替换一个技能	Slot pieni! Sostituisci un'abilità con <color=#FFCD75>{0}</color>	Paikat täynnä! Korvaa taito taidolla <color=#FFCD75>{0}</color>
Weapon slots full! Replace a weapon with <color=#FFCD75>{0}</color>	Emplacements d'arme pleins ! Remplace une arme par <color=#FFCD75>{0}</color>	Waffenplätze voll! Ersetze eine Waffe durch <color=#FFCD75>{0}</color>	Silah yuvaları dolu! Bir silahı <color=#FFCD75>{0}</color> ile değiştir	武器栏已满！用 <color=#FFCD75>{0}</color> 替换一把武器	Slot armi pieni! Sostituisci un'arma con <color=#FFCD75>{0}</color>	Asepaikat täynnä! Korvaa ase aseella <color=#FFCD75>{0}</color>
Click a skill below or press its key.  Its level will be lost.	Clique sur une compétence ci-dessous ou appuie sur sa touche.  Son niveau sera perdu.	Klicke unten auf einen Skill oder drücke seine Taste.  Sein Level geht verloren.	Aşağıdan bir yeteneğe tıkla ya da tuşuna bas.  Seviyesi kaybolur.	点击下方技能或按对应按键。  其等级将会丢失。	Clicca un'abilità qui sotto o premi il suo tasto.  Il suo livello andrà perso.	Napsauta taitoa alla tai paina sen näppäintä.  Sen taso menetetään.
Choose a skill with the D-pad and press A.  Its level will be lost.	Choisis une compétence avec la croix et appuie sur A.  Son niveau sera perdu.	Wähle mit dem Steuerkreuz einen Skill und drücke A.  Sein Level geht verloren.	Yön tuşlarıyla bir yetenek seç ve A'ya bas.  Seviyesi kaybolur.	用十字键选择技能并按 A。  其等级将会丢失。	Scegli un'abilità con la croce direzionale e premi A.  Il suo livello andrà perso.	Valitse taito ristiohjaimella ja paina A.  Sen taso menetetään.
Click a weapon below-right or press its number (1-{0}).	Clique sur une arme en bas à droite ou appuie sur son numéro (1-{0}).	Klicke rechts unten auf eine Waffe oder drücke ihre Nummer (1-{0}).	Sağ alttan bir silaha tıkla ya da numarasına bas (1-{0}).	点击右下方的武器或按其编号 (1-{0})。	Clicca un'arma in basso a destra o premi il suo numero (1-{0}).	Napsauta asetta oikealla alhaalla tai paina sen numeroa (1-{0}).
Choose a weapon below-right with the D-pad and press A.  B to cancel.	Choisis une arme en bas à droite avec la croix et appuie sur A.  B pour annuler.	Wähle rechts unten mit dem Steuerkreuz eine Waffe und drücke A.  B zum Abbrechen.	Sağ alttan yön tuşlarıyla bir silah seç ve A'ya bas.  İptal için B.	用十字键选择右下方的武器并按 A。  按 B 取消。	Scegli un'arma in basso a destra con la croce e premi A.  B per annullare.	Valitse ase oikealta alhaalta ristiohjaimella ja paina A.  B peruuttaa.
Cancel (Esc)	Annuler (Échap)	Abbrechen (Esc)	İptal (Esc)	取消 (Esc)	Annulla (Esc)	Peruuta (Esc)
# --- Level atlama paneli / kartlar ---
REROLL	RELANCER	NEU WÜRFELN	YENİLE	刷新	RILANCIA	ARVO UUDET
REROLL <size=70%><color=#94B0C2>(R)</color></size>	RELANCER <size=70%><color=#94B0C2>(R)</color></size>	NEU WÜRFELN <size=70%><color=#94B0C2>(R)</color></size>	YENİLE <size=70%><color=#94B0C2>(R)</color></size>	刷新 <size=70%><color=#94B0C2>(R)</color></size>	RILANCIA <size=70%><color=#94B0C2>(R)</color></size>	ARVO UUDET <size=70%><color=#94B0C2>(R)</color></size>
FREE	GRATUIT	GRATIS	ÜCRETSİZ	免费	GRATIS	ILMAINEN
Replaces a skill	Remplace une compétence	Ersetzt einen Skill	Bir yeteneğin yerine geçer	替换一个技能	Sostituisce un'abilità	Korvaa taidon
Replaces a weapon	Remplace une arme	Ersetzt eine Waffe	Bir silahın yerine geçer	替换一把武器	Sostituisce un'arma	Korvaa aseen
{0} acquired!	{0} obtenu !	{0} erhalten!	{0} kazanıldı!	获得 {0}！	{0} ottenuto!	{0} hankittu!
SYNERGY: {0}	SYNERGIE : {0}	SYNERGIE: {0}	SİNERJİ: {0}	协同：{0}	SINERGIA: {0}	SYNERGIA: {0}
MERGE: {0} -> Tier {1} (x{2} damage)	FUSION : {0} -> Rang {1} (x{2} dégâts)	VERSCHMELZEN: {0} -> Stufe {1} (x{2} Schaden)	BİRLEŞTİR: {0} -> Seviye {1} (x{2} hasar)	合成：{0} -> {1} 阶（x{2} 伤害）	FUSIONE: {0} -> Livello {1} (x{2} danno)	YHDISTÄ: {0} -> Taso {1} (x{2} vahinko)
Damage: {0}  Attacks: {1}/s	Dégâts : {0}  Attaques : {1}/s	Schaden: {0}  Angriffe: {1}/s	Hasar: {0}  Saldırı: {1}/sn	伤害：{0}  攻速：{1}/秒	Danno: {0}  Attacchi: {1}/s	Vahinko: {0}  Iskut: {1}/s
Range: {0}	Portée : {0}	Reichweite: {0}	Menzil: {0}	范围：{0}	Portata: {0}	Kantama: {0}
Cooldown: {0}s	Recharge : {0}s	Abklingzeit: {0}s	Bekleme: {0}sn	冷却：{0}秒	Ricarica: {0}s	Latausaika: {0}s
Speed: {0}  Duration: {1}s	Vitesse : {0}  Durée : {1}s	Tempo: {0}  Dauer: {1}s	Hız: {0}  Süre: {1}sn	速度：{0}  持续：{1}秒	Velocità: {0}  Durata: {1}s	Nopeus: {0}  Kesto: {1}s
Damage: {0}  Radius: {1}	Dégâts : {0}  Rayon : {1}	Schaden: {0}  Radius: {1}	Hasar: {0}  Yarıçap: {1}	伤害：{0}  半径：{1}	Danno: {0}  Raggio: {1}	Vahinko: {0}  Säde: {1}
Duration: {0}s	Durée : {0}s	Dauer: {0}s	Süre: {0}sn	持续：{0}秒	Durata: {0}s	Kesto: {0}s
{0}x Waves  Damage: {1}  Radius: {2}	{0}x Ondes  Dégâts : {1}  Rayon : {2}	{0}x Wellen  Schaden: {1}  Radius: {2}	{0}x Dalga  Hasar: {1}  Yarıçap: {2}	{0}x 波  伤害：{1}  半径：{2}	{0}x Onde  Danno: {1}  Raggio: {2}	{0}x Aallot  Vahinko: {1}  Säde: {2}
{0}x Shots  Damage: {1}	{0}x Tirs  Dégâts : {1}	{0}x Schüsse  Schaden: {1}	{0}x Atış  Hasar: {1}	{0}x 发射  伤害：{1}	{0}x Colpi  Danno: {1}	{0}x Laukaukset  Vahinko: {1}
Heal: {0} HP	Soin : {0} PV	Heilung: {0} LP	İyileşme: {0} Can	治疗：{0} 生命	Cura: {0} PS	Parannus: {0} HP
Slow: {0}  for {1}s	Ralenti : {0}  pendant {1}s	Verlangsamung: {0}  für {1}s	Yavaşlatma: {0}  {1}sn boyunca	减速：{0}  持续 {1}秒	Rallentamento: {0}  per {1}s	Hidastus: {0}  {1}s ajan
+{0} Damage  +{1} Fire Rate	+{0} Dégâts  +{1} Cadence	+{0} Schaden  +{1} Feuerrate	+{0} Hasar  +{1} Atış Hızı	+{0} 伤害  +{1} 射速	+{0} Danno  +{1} Cadenza	+{0} Vahinko  +{1} Tulinopeus
{0}x Chains  Damage: {1}	{0}x Chaînes  Dégâts : {1}	{0}x Ketten  Schaden: {1}	{0}x Zincir  Hasar: {1}	{0}x 连锁  伤害：{1}	{0}x Catene  Danno: {1}	{0}x Ketjut  Vahinko: {1}
Cooldown	Recharge	Abklingzeit	Bekleme	冷却	Ricarica	Latausaika
Speed	Vitesse	Tempo	Hız	速度	Velocità	Nopeus
Duration	Durée	Dauer	Süre	持续	Durata	Kesto
Damage	Dégâts	Schaden	Hasar	伤害	Danno	Vahinko
